Time	XCoord	YCoord	VideoName
191344	-33728	33308	4T-D2-ND-F-BL.mpeg
191360	-33728	33308	4T-D2-ND-F-BL.mpeg
191379	-33728	33308	4T-D2-ND-F-BL.mpeg
191400	-33728	33308	4T-D2-ND-F-BL.mpeg
191419	-33728	33308	4T-D2-ND-F-BL.mpeg
191439	-33728	33308	4T-D2-ND-F-BL.mpeg
191460	-33728	33308	4T-D2-ND-F-BL.mpeg
191479	-33728	33308	4T-D2-ND-F-BL.mpeg
191499	-33728	33308	4T-D2-ND-F-BL.mpeg
191520	-33728	33308	4T-D2-ND-F-BL.mpeg
191539	-33728	33308	4T-D2-ND-F-BL.mpeg
191602	-33728	33308	4T-D2-ND-F-BL.mpeg
191603	-33728	33308	4T-D2-ND-F-BL.mpeg
191604	-33728	33308	4T-D2-ND-F-BL.mpeg
191621	-33728	33308	4T-D2-ND-F-BL.mpeg
191639	-33728	33308	4T-D2-ND-F-BL.mpeg
191659	-33728	33308	4T-D2-ND-F-BL.mpeg
191680	-33728	33308	4T-D2-ND-F-BL.mpeg
191699	-33728	33308	4T-D2-ND-F-BL.mpeg
191719	-33728	33308	4T-D2-ND-F-BL.mpeg
191740	-33728	33308	4T-D2-ND-F-BL.mpeg
191828	-33728	33308	4T-D2-ND-F-BL.mpeg
191841	-33728	33308	4T-D2-ND-F-BL.mpeg
191860	-33728	33308	4T-D2-ND-F-BL.mpeg
191880	-33728	33308	4T-D2-ND-F-BL.mpeg
191901	-33728	33308	4T-D2-ND-F-BL.mpeg
191920	-33728	33308	4T-D2-ND-F-BL.mpeg
191940	-33728	33308	4T-D2-ND-F-BL.mpeg
191962	-33728	33308	4T-D2-ND-F-BL.mpeg
191980	-33728	33308	4T-D2-ND-F-BL.mpeg
192001	-33728	33308	4T-D2-ND-F-BL.mpeg
192019	-33728	33308	4T-D2-ND-F-BL.mpeg
192039	-33728	33308	4T-D2-ND-F-BL.mpeg
192061	-33728	33308	4T-D2-ND-F-BL.mpeg
192079	-33728	33308	4T-D2-ND-F-BL.mpeg
192099	-33728	33308	4T-D2-ND-F-BL.mpeg
192121	-33728	33308	4T-D2-ND-F-BL.mpeg
192207	-33728	33308	4T-D2-ND-F-BL.mpeg
192221	-33728	33308	4T-D2-ND-F-BL.mpeg
192240	-33728	33308	4T-D2-ND-F-BL.mpeg
192260	-33728	33308	4T-D2-ND-F-BL.mpeg
192281	-33728	33308	4T-D2-ND-F-BL.mpeg
192300	-33728	33308	4T-D2-ND-F-BL.mpeg
192320	-33728	33308	4T-D2-ND-F-BL.mpeg
192340	-33728	33308	4T-D2-ND-F-BL.mpeg
192359	-33728	33308	4T-D2-ND-F-BL.mpeg
192381	-33728	33308	4T-D2-ND-F-BL.mpeg
192399	-33728	33308	4T-D2-ND-F-BL.mpeg
192419	-33728	33308	4T-D2-ND-F-BL.mpeg
192441	-33728	33308	4T-D2-ND-F-BL.mpeg
192459	-33728	33308	4T-D2-ND-F-BL.mpeg
192479	-33728	33308	4T-D2-ND-F-BL.mpeg
192501	-33728	33308	4T-D2-ND-F-BL.mpeg
192519	-33728	33308	4T-D2-ND-F-BL.mpeg
192615	-33728	33308	4T-D2-ND-F-BL.mpeg
192620	-33728	33308	4T-D2-ND-F-BL.mpeg
192640	-33728	33308	4T-D2-ND-F-BL.mpeg
192661	-33728	33308	4T-D2-ND-F-BL.mpeg
192680	-33728	33308	4T-D2-ND-F-BL.mpeg
192700	-33728	33308	4T-D2-ND-F-BL.mpeg
192722	-33728	33308	4T-D2-ND-F-BL.mpeg
192741	-33728	33308	4T-D2-ND-F-BL.mpeg
192762	-33728	33308	4T-D2-ND-F-BL.mpeg
192780	-33728	33308	4T-D2-ND-F-BL.mpeg
192800	-33728	33308	4T-D2-ND-F-BL.mpeg
192822	-33728	33308	4T-D2-ND-F-BL.mpeg
192840	-33728	33308	4T-D2-ND-F-BL.mpeg
192859	-33728	33308	4T-D2-ND-F-BL.mpeg
192881	-33728	33308	4T-D2-ND-F-BL.mpeg
192899	-33728	33308	4T-D2-ND-F-BL.mpeg
192919	-33728	33308	4T-D2-ND-F-BL.mpeg
192941	-33728	33308	4T-D2-ND-F-BL.mpeg
193014	-33728	33308	4T-D2-ND-F-BL.mpeg
193021	-33728	33308	4T-D2-ND-F-BL.mpeg
193041	-33728	33308	4T-D2-ND-F-BL.mpeg
193060	-33728	33308	4T-D2-ND-F-BL.mpeg
193080	-33728	33308	4T-D2-ND-F-BL.mpeg
193101	-33728	33308	4T-D2-ND-F-BL.mpeg
193120	-33728	33308	4T-D2-ND-F-BL.mpeg
193141	-33728	33308	4T-D2-ND-F-BL.mpeg
193160	-33728	33308	4T-D2-ND-F-BL.mpeg
193180	-33728	33308	4T-D2-ND-F-BL.mpeg
193201	-33728	33308	4T-D2-ND-F-BL.mpeg
193220	-33728	33308	4T-D2-ND-F-BL.mpeg
193239	-33728	33308	4T-D2-ND-F-BL.mpeg
193261	-33728	33308	4T-D2-ND-F-BL.mpeg
193279	-33728	33308	4T-D2-ND-F-BL.mpeg
193300	-33728	33308	4T-D2-ND-F-BL.mpeg
193321	-33728	33308	4T-D2-ND-F-BL.mpeg
193339	-33728	33308	4T-D2-ND-F-BL.mpeg
193418	-33728	33308	4T-D2-ND-F-BL.mpeg
193421	-33728	33308	4T-D2-ND-F-BL.mpeg
193440	-33728	33308	4T-D2-ND-F-BL.mpeg
193460	-33728	33308	4T-D2-ND-F-BL.mpeg
193482	-33728	33308	4T-D2-ND-F-BL.mpeg
193500	-33728	33308	4T-D2-ND-F-BL.mpeg
193562	-33728	33308	4T-D2-ND-F-BL.mpeg
193565	-33728	33308	4T-D2-ND-F-BL.mpeg
193581	-33728	33308	4T-D2-ND-F-BL.mpeg
193599	-33728	33308	4T-D2-ND-F-BL.mpeg
193620	-33728	33308	4T-D2-ND-F-BL.mpeg
193641	-33728	33308	4T-D2-ND-F-BL.mpeg
193659	-33728	33308	4T-D2-ND-F-BL.mpeg
193679	-33728	33308	4T-D2-ND-F-BL.mpeg
193700	-33728	33308	4T-D2-ND-F-BL.mpeg
193719	-33728	33308	4T-D2-ND-F-BL.mpeg
193805	-33728	33308	4T-D2-ND-F-BL.mpeg
193820	-33728	33308	4T-D2-ND-F-BL.mpeg
