Time	XCoord	YCoord	VideoName
511689	-33728	33308	4T-D3-ND-F-BL.mpeg
511690	-33728	33308	4T-D3-ND-F-BL.mpeg
511712	-33728	33308	4T-D3-ND-F-BL.mpeg
511730	-33728	33308	4T-D3-ND-F-BL.mpeg
511752	-33728	33308	4T-D3-ND-F-BL.mpeg
511771	-33728	33308	4T-D3-ND-F-BL.mpeg
511790	-33728	33308	4T-D3-ND-F-BL.mpeg
511812	-33728	33308	4T-D3-ND-F-BL.mpeg
511830	-33728	33308	4T-D3-ND-F-BL.mpeg
511850	-33728	33308	4T-D3-ND-F-BL.mpeg
511872	-33728	33308	4T-D3-ND-F-BL.mpeg
511890	-33728	33308	4T-D3-ND-F-BL.mpeg
511910	-33728	33308	4T-D3-ND-F-BL.mpeg
511932	-33728	33308	4T-D3-ND-F-BL.mpeg
511950	-33728	33308	4T-D3-ND-F-BL.mpeg
511972	-33728	33308	4T-D3-ND-F-BL.mpeg
511990	-33728	33308	4T-D3-ND-F-BL.mpeg
512010	-33728	33308	4T-D3-ND-F-BL.mpeg
512032	-33728	33308	4T-D3-ND-F-BL.mpeg
512051	-33728	33308	4T-D3-ND-F-BL.mpeg
512070	-33728	33308	4T-D3-ND-F-BL.mpeg
512197	-33728	33308	4T-D3-ND-F-BL.mpeg
512211	-33728	33308	4T-D3-ND-F-BL.mpeg
512231	-33728	33308	4T-D3-ND-F-BL.mpeg
512252	-33728	33308	4T-D3-ND-F-BL.mpeg
512270	-33728	33308	4T-D3-ND-F-BL.mpeg
512290	-33728	33308	4T-D3-ND-F-BL.mpeg
512313	-33728	33308	4T-D3-ND-F-BL.mpeg
512331	-33728	33308	4T-D3-ND-F-BL.mpeg
512352	-33728	33308	4T-D3-ND-F-BL.mpeg
512370	-33728	33308	4T-D3-ND-F-BL.mpeg
512390	-33728	33308	4T-D3-ND-F-BL.mpeg
512412	-33728	33308	4T-D3-ND-F-BL.mpeg
512430	-33728	33308	4T-D3-ND-F-BL.mpeg
512450	-33728	33308	4T-D3-ND-F-BL.mpeg
512472	-33728	33308	4T-D3-ND-F-BL.mpeg
512563	-33728	33308	4T-D3-ND-F-BL.mpeg
512572	-33728	33308	4T-D3-ND-F-BL.mpeg
512591	-33728	33308	4T-D3-ND-F-BL.mpeg
512611	-33728	33308	4T-D3-ND-F-BL.mpeg
512632	-33728	33308	4T-D3-ND-F-BL.mpeg
512650	-33728	33308	4T-D3-ND-F-BL.mpeg
512671	-33728	33308	4T-D3-ND-F-BL.mpeg
512692	-33728	33308	4T-D3-ND-F-BL.mpeg
512710	-33728	33308	4T-D3-ND-F-BL.mpeg
512732	-33728	33308	4T-D3-ND-F-BL.mpeg
512750	-33728	33308	4T-D3-ND-F-BL.mpeg
512770	-33728	33308	4T-D3-ND-F-BL.mpeg
512792	-33728	33308	4T-D3-ND-F-BL.mpeg
512810	-33728	33308	4T-D3-ND-F-BL.mpeg
512830	-33728	33308	4T-D3-ND-F-BL.mpeg
512852	-33728	33308	4T-D3-ND-F-BL.mpeg
512870	-33728	33308	4T-D3-ND-F-BL.mpeg
512963	-33728	33308	4T-D3-ND-F-BL.mpeg
512971	-33728	33308	4T-D3-ND-F-BL.mpeg
512991	-33728	33308	4T-D3-ND-F-BL.mpeg
513012	-33728	33308	4T-D3-ND-F-BL.mpeg
