Time	XCoord	YCoord	VideoName
154674	-8.0999755859375	-125.599975585938	4T-D7-NP-F-BL.mpeg
154687	-8.20001220703125	-126.299987792969	4T-D7-NP-F-BL.mpeg
154707	-7.0999755859375	-127.200012207031	4T-D7-NP-F-BL.mpeg
154727	-7.20001220703125	-128.900024414063	4T-D7-NP-F-BL.mpeg
154747	-6	-131.5	4T-D7-NP-F-BL.mpeg
154767	-6.0999755859375	-131.400024414063	4T-D7-NP-F-BL.mpeg
154787	-6.20001220703125	-131.200012207031	4T-D7-NP-F-BL.mpeg
154807	-6.20001220703125	-129.700012207031	4T-D7-NP-F-BL.mpeg
154827	-6.4000244140625	-129.400024414063	4T-D7-NP-F-BL.mpeg
154847	-6.4000244140625	-127.700012207031	4T-D7-NP-F-BL.mpeg
154867	-6.5	-126	4T-D7-NP-F-BL.mpeg
154887	-4.29998779296875	-125.200012207031	4T-D7-NP-F-BL.mpeg
154907	-4	-125.099975585938	4T-D7-NP-F-BL.mpeg
154927	-3.70001220703125	-123.900024414063	4T-D7-NP-F-BL.mpeg
154947	-4.5	-123.700012207031	4T-D7-NP-F-BL.mpeg
154967	-4.9000244140625	-133.599975585938	4T-D7-NP-F-BL.mpeg
154987	-1.79998779296875	-133.599975585938	4T-D7-NP-F-BL.mpeg
155007	-2	-135	4T-D7-NP-F-BL.mpeg
155027	-9.70001220703125	-135.599975585938	4T-D7-NP-F-BL.mpeg
155047	-9.9000244140625	-138.700012207031	4T-D7-NP-F-BL.mpeg
155067	-9.20001220703125	-138.599975585938	4T-D7-NP-F-BL.mpeg
155087	-8.5999755859375	-132.400024414063	4T-D7-NP-F-BL.mpeg
155107	-8.5999755859375	-132.200012207031	4T-D7-NP-F-BL.mpeg
155233	7.79998779296875	-118.099975585938	4T-D7-NP-F-BL.mpeg
155247	23.7999877929688	-102.599975585938	4T-D7-NP-F-BL.mpeg
155267	45.7999877929688	-81.2999877929688	4T-D7-NP-F-BL.mpeg
155287	71.5999755859375	-56.5999755859375	4T-D7-NP-F-BL.mpeg
155307	104.199951171875	-39.4000244140625	4T-D7-NP-F-BL.mpeg
155328	136.800048828125	2.4000244140625	4T-D7-NP-F-BL.mpeg
155347	176.400024414063	23.7999877929688	4T-D7-NP-F-BL.mpeg
155367	203.400024414063	62.5	4T-D7-NP-F-BL.mpeg
155387	231.800048828125	83.2999877929688	4T-D7-NP-F-BL.mpeg
155407	266	100.700012207031	4T-D7-NP-F-BL.mpeg
155427	290.199951171875	108	4T-D7-NP-F-BL.mpeg
155447	323.5	127.5	4T-D7-NP-F-BL.mpeg
155467	352.400024414063	126.5	4T-D7-NP-F-BL.mpeg
155487	371.400024414063	151	4T-D7-NP-F-BL.mpeg
155507	406.400024414063	162.100006103516	4T-D7-NP-F-BL.mpeg
155597	524.599975585938	237.299987792969	4T-D7-NP-F-BL.mpeg
155607	546.599975585938	262.799987792969	4T-D7-NP-F-BL.mpeg
155628	585.300048828125	276.600006103516	4T-D7-NP-F-BL.mpeg
155647	618.199951171875	280.5	4T-D7-NP-F-BL.mpeg
