Time	XCoord	YCoord	VideoName
394854	-33728	33308	4T-D6-NP-F-BL.mpeg
394859	-33728	33308	4T-D6-NP-F-BL.mpeg
394877	-33728	33308	4T-D6-NP-F-BL.mpeg
394898	-33728	33308	4T-D6-NP-F-BL.mpeg
394917	-33728	33308	4T-D6-NP-F-BL.mpeg
394937	-33728	33308	4T-D6-NP-F-BL.mpeg
394958	-33728	33308	4T-D6-NP-F-BL.mpeg
394977	-33728	33308	4T-D6-NP-F-BL.mpeg
394997	-33728	33308	4T-D6-NP-F-BL.mpeg
395018	-33728	33308	4T-D6-NP-F-BL.mpeg
395037	-33728	33308	4T-D6-NP-F-BL.mpeg
395058	-33728	33308	4T-D6-NP-F-BL.mpeg
395077	-33728	33308	4T-D6-NP-F-BL.mpeg
395097	-33728	33308	4T-D6-NP-F-BL.mpeg
395118	-33728	33308	4T-D6-NP-F-BL.mpeg
395137	-33728	33308	4T-D6-NP-F-BL.mpeg
395157	-33728	33308	4T-D6-NP-F-BL.mpeg
395178	-33728	33308	4T-D6-NP-F-BL.mpeg
395197	-33728	33308	4T-D6-NP-F-BL.mpeg
395217	-33728	33308	4T-D6-NP-F-BL.mpeg
395239	-33728	33308	4T-D6-NP-F-BL.mpeg
395257	-33728	33308	4T-D6-NP-F-BL.mpeg
395278	-33728	33308	4T-D6-NP-F-BL.mpeg
395297	-33728	33308	4T-D6-NP-F-BL.mpeg
395428	-33728	33308	4T-D6-NP-F-BL.mpeg
395481	-33728	33308	4T-D6-NP-F-BL.mpeg
395482	-33728	33308	4T-D6-NP-F-BL.mpeg
395483	-33728	33308	4T-D6-NP-F-BL.mpeg
395499	-33728	33308	4T-D6-NP-F-BL.mpeg
395517	-33728	33308	4T-D6-NP-F-BL.mpeg
395538	-33728	33308	4T-D6-NP-F-BL.mpeg
395558	-33728	33308	4T-D6-NP-F-BL.mpeg
395578	-33728	33308	4T-D6-NP-F-BL.mpeg
395597	-33728	33308	4T-D6-NP-F-BL.mpeg
395619	-33728	33308	4T-D6-NP-F-BL.mpeg
395637	-33728	33308	4T-D6-NP-F-BL.mpeg
395659	-33728	33308	4T-D6-NP-F-BL.mpeg
395677	-33728	33308	4T-D6-NP-F-BL.mpeg
395697	-33728	33308	4T-D6-NP-F-BL.mpeg
395787	-33728	33308	4T-D6-NP-F-BL.mpeg
395797	-33728	33308	4T-D6-NP-F-BL.mpeg
395817	-33728	33308	4T-D6-NP-F-BL.mpeg
395839	-33728	33308	4T-D6-NP-F-BL.mpeg
395857	-33728	33308	4T-D6-NP-F-BL.mpeg
395879	-33728	33308	4T-D6-NP-F-BL.mpeg
395897	-33728	33308	4T-D6-NP-F-BL.mpeg
395918	-33728	33308	4T-D6-NP-F-BL.mpeg
395939	-33728	33308	4T-D6-NP-F-BL.mpeg
395957	-33728	33308	4T-D6-NP-F-BL.mpeg
395978	-33728	33308	4T-D6-NP-F-BL.mpeg
395999	-33728	33308	4T-D6-NP-F-BL.mpeg
396017	-33728	33308	4T-D6-NP-F-BL.mpeg
396038	-33728	33308	4T-D6-NP-F-BL.mpeg
396057	-33728	33308	4T-D6-NP-F-BL.mpeg
396077	-33728	33308	4T-D6-NP-F-BL.mpeg
396098	-33728	33308	4T-D6-NP-F-BL.mpeg
396188	-33728	33308	4T-D6-NP-F-BL.mpeg
396198	-33728	33308	4T-D6-NP-F-BL.mpeg
396219	-33728	33308	4T-D6-NP-F-BL.mpeg
