Time	XCoord	YCoord	VideoName
118839	-33728	33308	4T-D8-NP-F-BL.mpeg
118849	-33728	33308	4T-D8-NP-F-BL.mpeg
118867	-33728	33308	4T-D8-NP-F-BL.mpeg
118887	-33728	33308	4T-D8-NP-F-BL.mpeg
118909	-33728	33308	4T-D8-NP-F-BL.mpeg
118927	-33728	33308	4T-D8-NP-F-BL.mpeg
118947	-33728	33308	4T-D8-NP-F-BL.mpeg
118969	-33728	33308	4T-D8-NP-F-BL.mpeg
118987	-33728	33308	4T-D8-NP-F-BL.mpeg
119007	-33728	33308	4T-D8-NP-F-BL.mpeg
119029	-33728	33308	4T-D8-NP-F-BL.mpeg
119047	-33728	33308	4T-D8-NP-F-BL.mpeg
119069	-33728	33308	4T-D8-NP-F-BL.mpeg
119087	-33728	33308	4T-D8-NP-F-BL.mpeg
119108	-33728	33308	4T-D8-NP-F-BL.mpeg
119129	-33728	33308	4T-D8-NP-F-BL.mpeg
119147	-33728	33308	4T-D8-NP-F-BL.mpeg
119167	-33728	33308	4T-D8-NP-F-BL.mpeg
119188	-33728	33308	4T-D8-NP-F-BL.mpeg
119207	-33728	33308	4T-D8-NP-F-BL.mpeg
119228	-33728	33308	4T-D8-NP-F-BL.mpeg
119247	-33728	33308	4T-D8-NP-F-BL.mpeg
119267	-33728	33308	4T-D8-NP-F-BL.mpeg
119288	-33728	33308	4T-D8-NP-F-BL.mpeg
119307	-33728	33308	4T-D8-NP-F-BL.mpeg
119327	-33728	33308	4T-D8-NP-F-BL.mpeg
119349	-33728	33308	4T-D8-NP-F-BL.mpeg
119367	-33728	33308	4T-D8-NP-F-BL.mpeg
119387	-33728	33308	4T-D8-NP-F-BL.mpeg
119409	-33728	33308	4T-D8-NP-F-BL.mpeg
119539	-33728	33308	4T-D8-NP-F-BL.mpeg
119548	-33728	33308	4T-D8-NP-F-BL.mpeg
119569	-33728	33308	4T-D8-NP-F-BL.mpeg
119587	-33728	33308	4T-D8-NP-F-BL.mpeg
119627	-33728	33308	4T-D8-NP-F-BL.mpeg
119628	-33728	33308	4T-D8-NP-F-BL.mpeg
119648	-33728	33308	4T-D8-NP-F-BL.mpeg
119669	-33728	33308	4T-D8-NP-F-BL.mpeg
119687	-33728	33308	4T-D8-NP-F-BL.mpeg
119707	-33728	33308	4T-D8-NP-F-BL.mpeg
119729	-33728	33308	4T-D8-NP-F-BL.mpeg
119748	-33728	33308	4T-D8-NP-F-BL.mpeg
119767	-33728	33308	4T-D8-NP-F-BL.mpeg
119789	-33728	33308	4T-D8-NP-F-BL.mpeg
119807	-33728	33308	4T-D8-NP-F-BL.mpeg
119900	-33728	33308	4T-D8-NP-F-BL.mpeg
119908	-33728	33308	4T-D8-NP-F-BL.mpeg
119927	-33728	33308	4T-D8-NP-F-BL.mpeg
119949	-33728	33308	4T-D8-NP-F-BL.mpeg
119968	-33728	33308	4T-D8-NP-F-BL.mpeg
119987	-33728	33308	4T-D8-NP-F-BL.mpeg
120009	-33728	33308	4T-D8-NP-F-BL.mpeg
120027	-33728	33308	4T-D8-NP-F-BL.mpeg
120049	-33728	33308	4T-D8-NP-F-BL.mpeg
120068	-33728	33308	4T-D8-NP-F-BL.mpeg
120088	-33728	33308	4T-D8-NP-F-BL.mpeg
120109	-33728	33308	4T-D8-NP-F-BL.mpeg
120128	-33728	33308	4T-D8-NP-F-BL.mpeg
120148	-33728	33308	4T-D8-NP-F-BL.mpeg
120168	-33728	33308	4T-D8-NP-F-BL.mpeg
120188	-33728	33308	4T-D8-NP-F-BL.mpeg
120209	-33728	33308	4T-D8-NP-F-BL.mpeg
120228	-33728	33308	4T-D8-NP-F-BL.mpeg
120247	-33728	33308	4T-D8-NP-F-BL.mpeg
120269	-33728	33308	4T-D8-NP-F-BL.mpeg
120288	-33728	33308	4T-D8-NP-F-BL.mpeg
120308	-33728	33308	4T-D8-NP-F-BL.mpeg
120329	-33728	33308	4T-D8-NP-F-BL.mpeg
120348	-33728	33308	4T-D8-NP-F-BL.mpeg
120367	-33728	33308	4T-D8-NP-F-BL.mpeg
120389	-33728	33308	4T-D8-NP-F-BL.mpeg
120407	-33728	33308	4T-D8-NP-F-BL.mpeg
120499	-33728	33308	4T-D8-NP-F-BL.mpeg
120508	-33728	33308	4T-D8-NP-F-BL.mpeg
120527	-33728	33308	4T-D8-NP-F-BL.mpeg
120549	-33728	33308	4T-D8-NP-F-BL.mpeg
120568	-33728	33308	4T-D8-NP-F-BL.mpeg
120607	-33728	33308	4T-D8-NP-F-BL.mpeg
120609	-33728	33308	4T-D8-NP-F-BL.mpeg
120627	-33728	33308	4T-D8-NP-F-BL.mpeg
120649	-33728	33308	4T-D8-NP-F-BL.mpeg
120667	-33728	33308	4T-D8-NP-F-BL.mpeg
120688	-33728	33308	4T-D8-NP-F-BL.mpeg
120709	-33728	33308	4T-D8-NP-F-BL.mpeg
120728	-33728	33308	4T-D8-NP-F-BL.mpeg
120748	-33728	33308	4T-D8-NP-F-BL.mpeg
120769	-33728	33308	4T-D8-NP-F-BL.mpeg
120788	-33728	33308	4T-D8-NP-F-BL.mpeg
120809	-33728	33308	4T-D8-NP-F-BL.mpeg
120900	-33728	33308	4T-D8-NP-F-BL.mpeg
120907	-33728	33308	4T-D8-NP-F-BL.mpeg
120929	-33728	33308	4T-D8-NP-F-BL.mpeg
120947	-33728	33308	4T-D8-NP-F-BL.mpeg
120967	-33728	33308	4T-D8-NP-F-BL.mpeg
120989	-33728	33308	4T-D8-NP-F-BL.mpeg
121007	-33728	33308	4T-D8-NP-F-BL.mpeg
121028	-33728	33308	4T-D8-NP-F-BL.mpeg
121047	-33728	33308	4T-D8-NP-F-BL.mpeg
121067	-33728	33308	4T-D8-NP-F-BL.mpeg
121088	-33728	33308	4T-D8-NP-F-BL.mpeg
121107	-33728	33308	4T-D8-NP-F-BL.mpeg
121127	-33728	33308	4T-D8-NP-F-BL.mpeg
121149	-33728	33308	4T-D8-NP-F-BL.mpeg
121167	-33728	33308	4T-D8-NP-F-BL.mpeg
121188	-33728	33308	4T-D8-NP-F-BL.mpeg
121207	-33728	33308	4T-D8-NP-F-BL.mpeg
121303	-33728	33308	4T-D8-NP-F-BL.mpeg
121309	-33728	33308	4T-D8-NP-F-BL.mpeg
121327	-33728	33308	4T-D8-NP-F-BL.mpeg
121348	-33728	33308	4T-D8-NP-F-BL.mpeg
121369	-33728	33308	4T-D8-NP-F-BL.mpeg
121387	-33728	33308	4T-D8-NP-F-BL.mpeg
121408	-33728	33308	4T-D8-NP-F-BL.mpeg
121427	-33728	33308	4T-D8-NP-F-BL.mpeg
121447	-33728	33308	4T-D8-NP-F-BL.mpeg
121469	-33728	33308	4T-D8-NP-F-BL.mpeg
121487	-33728	33308	4T-D8-NP-F-BL.mpeg
121507	-33728	33308	4T-D8-NP-F-BL.mpeg
121529	-33728	33308	4T-D8-NP-F-BL.mpeg
121547	-33728	33308	4T-D8-NP-F-BL.mpeg
121587	-33728	33308	4T-D8-NP-F-BL.mpeg
121587	-33728	33308	4T-D8-NP-F-BL.mpeg
121608	-33728	33308	4T-D8-NP-F-BL.mpeg
121703	-33728	33308	4T-D8-NP-F-BL.mpeg
121709	-33728	33308	4T-D8-NP-F-BL.mpeg
121727	-33728	33308	4T-D8-NP-F-BL.mpeg
121749	-33728	33308	4T-D8-NP-F-BL.mpeg
121767	-33728	33308	4T-D8-NP-F-BL.mpeg
121788	-33728	33308	4T-D8-NP-F-BL.mpeg
121807	-33728	33308	4T-D8-NP-F-BL.mpeg
121828	-33728	33308	4T-D8-NP-F-BL.mpeg
121849	-33728	33308	4T-D8-NP-F-BL.mpeg
121868	-33728	33308	4T-D8-NP-F-BL.mpeg
121888	-33728	33308	4T-D8-NP-F-BL.mpeg
121909	-33728	33308	4T-D8-NP-F-BL.mpeg
121927	-33728	33308	4T-D8-NP-F-BL.mpeg
121947	-33728	33308	4T-D8-NP-F-BL.mpeg
121969	-33728	33308	4T-D8-NP-F-BL.mpeg
121988	-33728	33308	4T-D8-NP-F-BL.mpeg
122009	-33728	33308	4T-D8-NP-F-BL.mpeg
122102	-33728	33308	4T-D8-NP-F-BL.mpeg
122108	-33728	33308	4T-D8-NP-F-BL.mpeg
122129	-33728	33308	4T-D8-NP-F-BL.mpeg
122147	-33728	33308	4T-D8-NP-F-BL.mpeg
122169	-33728	33308	4T-D8-NP-F-BL.mpeg
122188	-33728	33308	4T-D8-NP-F-BL.mpeg
122207	-33728	33308	4T-D8-NP-F-BL.mpeg
122230	-33728	33308	4T-D8-NP-F-BL.mpeg
122248	-33728	33308	4T-D8-NP-F-BL.mpeg
122267	-33728	33308	4T-D8-NP-F-BL.mpeg
122289	-33728	33308	4T-D8-NP-F-BL.mpeg
122307	-33728	33308	4T-D8-NP-F-BL.mpeg
122327	-33728	33308	4T-D8-NP-F-BL.mpeg
122349	-33728	33308	4T-D8-NP-F-BL.mpeg
122368	-33728	33308	4T-D8-NP-F-BL.mpeg
122389	-33728	33308	4T-D8-NP-F-BL.mpeg
122407	-33728	33308	4T-D8-NP-F-BL.mpeg
122498	-33728	33308	4T-D8-NP-F-BL.mpeg
122509	-33728	33308	4T-D8-NP-F-BL.mpeg
122527	-33728	33308	4T-D8-NP-F-BL.mpeg
122567	-33728	33308	4T-D8-NP-F-BL.mpeg
122568	-33728	33308	4T-D8-NP-F-BL.mpeg
122588	-33728	33308	4T-D8-NP-F-BL.mpeg
122609	-33728	33308	4T-D8-NP-F-BL.mpeg
122627	-33728	33308	4T-D8-NP-F-BL.mpeg
122647	-33728	33308	4T-D8-NP-F-BL.mpeg
122669	-33728	33308	4T-D8-NP-F-BL.mpeg
122688	-33728	33308	4T-D8-NP-F-BL.mpeg
122708	-33728	33308	4T-D8-NP-F-BL.mpeg
122729	-33728	33308	4T-D8-NP-F-BL.mpeg
122748	-33728	33308	4T-D8-NP-F-BL.mpeg
122769	-33728	33308	4T-D8-NP-F-BL.mpeg
122787	-33728	33308	4T-D8-NP-F-BL.mpeg
122807	-33728	33308	4T-D8-NP-F-BL.mpeg
122900	-33728	33308	4T-D8-NP-F-BL.mpeg
122907	-33728	33308	4T-D8-NP-F-BL.mpeg
122927	-33728	33308	4T-D8-NP-F-BL.mpeg
122949	-33728	33308	4T-D8-NP-F-BL.mpeg
122968	-33728	33308	4T-D8-NP-F-BL.mpeg
122989	-33728	33308	4T-D8-NP-F-BL.mpeg
