Time	XCoord	YCoord	VideoName
200168	-33728	33368	4T-D1-NP-F-BL.mpeg
200176	-33728	33368	4T-D1-NP-F-BL.mpeg
200196	-33728	33368	4T-D1-NP-F-BL.mpeg
200216	-33728	33368	4T-D1-NP-F-BL.mpeg
200235	-33728	33368	4T-D1-NP-F-BL.mpeg
200255	-33728	33368	4T-D1-NP-F-BL.mpeg
200275	-33728	33368	4T-D1-NP-F-BL.mpeg
200295	-33728	33368	4T-D1-NP-F-BL.mpeg
200315	-33728	33368	4T-D1-NP-F-BL.mpeg
200336	-33728	33368	4T-D1-NP-F-BL.mpeg
200356	-33728	33368	4T-D1-NP-F-BL.mpeg
200376	-33728	33368	4T-D1-NP-F-BL.mpeg
200397	-33728	33368	4T-D1-NP-F-BL.mpeg
200417	-33728	33368	4T-D1-NP-F-BL.mpeg
200437	-33728	33368	4T-D1-NP-F-BL.mpeg
200457	-33728	33368	4T-D1-NP-F-BL.mpeg
200586	-33728	33368	4T-D1-NP-F-BL.mpeg
200599	-33728	33368	4T-D1-NP-F-BL.mpeg
200619	-33728	33368	4T-D1-NP-F-BL.mpeg
200639	-33728	33368	4T-D1-NP-F-BL.mpeg
200659	-33728	33368	4T-D1-NP-F-BL.mpeg
200679	-33728	33368	4T-D1-NP-F-BL.mpeg
200699	-33728	33368	4T-D1-NP-F-BL.mpeg
200719	-33728	33368	4T-D1-NP-F-BL.mpeg
200739	-33728	33368	4T-D1-NP-F-BL.mpeg
200759	-33728	33368	4T-D1-NP-F-BL.mpeg
200781	-33728	33368	4T-D1-NP-F-BL.mpeg
200801	-33728	33368	4T-D1-NP-F-BL.mpeg
200821	-33728	33368	4T-D1-NP-F-BL.mpeg
200841	-33728	33368	4T-D1-NP-F-BL.mpeg
200861	-33728	33368	4T-D1-NP-F-BL.mpeg
200943	-33728	33368	4T-D1-NP-F-BL.mpeg
200961	-33728	33368	4T-D1-NP-F-BL.mpeg
200981	-33728	33368	4T-D1-NP-F-BL.mpeg
201001	-33728	33368	4T-D1-NP-F-BL.mpeg
201021	-33728	33368	4T-D1-NP-F-BL.mpeg
201041	-33728	33368	4T-D1-NP-F-BL.mpeg
201061	-33728	33368	4T-D1-NP-F-BL.mpeg
201081	-33728	33368	4T-D1-NP-F-BL.mpeg
201101	-33728	33368	4T-D1-NP-F-BL.mpeg
201121	-33728	33368	4T-D1-NP-F-BL.mpeg
201141	-33728	33368	4T-D1-NP-F-BL.mpeg
201161	-33728	33368	4T-D1-NP-F-BL.mpeg
201181	-33728	33368	4T-D1-NP-F-BL.mpeg
201201	-33728	33368	4T-D1-NP-F-BL.mpeg
201220	-33728	33368	4T-D1-NP-F-BL.mpeg
201241	-33728	33368	4T-D1-NP-F-BL.mpeg
201261	-33728	33368	4T-D1-NP-F-BL.mpeg
201343	-33728	33368	4T-D1-NP-F-BL.mpeg
201361	-33728	33368	4T-D1-NP-F-BL.mpeg
201381	-33728	33368	4T-D1-NP-F-BL.mpeg
201401	-33728	33368	4T-D1-NP-F-BL.mpeg
201421	-33728	33368	4T-D1-NP-F-BL.mpeg
201440	-33728	33368	4T-D1-NP-F-BL.mpeg
201460	-33728	33368	4T-D1-NP-F-BL.mpeg
201480	-33728	33368	4T-D1-NP-F-BL.mpeg
201500	-33728	33368	4T-D1-NP-F-BL.mpeg
201520	-33728	33368	4T-D1-NP-F-BL.mpeg
201540	-33728	33368	4T-D1-NP-F-BL.mpeg
201560	-33728	33368	4T-D1-NP-F-BL.mpeg
201580	-33728	33368	4T-D1-NP-F-BL.mpeg
201600	-33728	33368	4T-D1-NP-F-BL.mpeg
201620	-33728	33368	4T-D1-NP-F-BL.mpeg
201640	-33728	33368	4T-D1-NP-F-BL.mpeg
201660	-33728	33368	4T-D1-NP-F-BL.mpeg
201743	-33728	33368	4T-D1-NP-F-BL.mpeg
201760	-33728	33368	4T-D1-NP-F-BL.mpeg
201780	-33728	33368	4T-D1-NP-F-BL.mpeg
201800	-33728	33368	4T-D1-NP-F-BL.mpeg
201820	-33728	33368	4T-D1-NP-F-BL.mpeg
201840	-33728	33368	4T-D1-NP-F-BL.mpeg
201860	-33728	33368	4T-D1-NP-F-BL.mpeg
201880	-33728	33368	4T-D1-NP-F-BL.mpeg
201900	-33728	33368	4T-D1-NP-F-BL.mpeg
201920	-33728	33368	4T-D1-NP-F-BL.mpeg
201940	-33728	33368	4T-D1-NP-F-BL.mpeg
201961	-33728	33368	4T-D1-NP-F-BL.mpeg
201980	-33728	33368	4T-D1-NP-F-BL.mpeg
202000	-33728	33368	4T-D1-NP-F-BL.mpeg
202020	-33728	33368	4T-D1-NP-F-BL.mpeg
202040	-33728	33368	4T-D1-NP-F-BL.mpeg
202060	-33728	33368	4T-D1-NP-F-BL.mpeg
202143	-33728	33368	4T-D1-NP-F-BL.mpeg
202160	-33728	33368	4T-D1-NP-F-BL.mpeg
202180	-33728	33368	4T-D1-NP-F-BL.mpeg
202200	-33728	33368	4T-D1-NP-F-BL.mpeg
202220	-33728	33368	4T-D1-NP-F-BL.mpeg
202241	-33728	33368	4T-D1-NP-F-BL.mpeg
202260	-33728	33368	4T-D1-NP-F-BL.mpeg
202280	-33728	33368	4T-D1-NP-F-BL.mpeg
202300	-33728	33368	4T-D1-NP-F-BL.mpeg
202320	-33728	33368	4T-D1-NP-F-BL.mpeg
202340	-33728	33368	4T-D1-NP-F-BL.mpeg
202360	-33728	33368	4T-D1-NP-F-BL.mpeg
202380	-33728	33368	4T-D1-NP-F-BL.mpeg
202401	-33728	33368	4T-D1-NP-F-BL.mpeg
202421	-33728	33368	4T-D1-NP-F-BL.mpeg
202441	-33728	33368	4T-D1-NP-F-BL.mpeg
202460	-33728	33368	4T-D1-NP-F-BL.mpeg
202543	-33728	33368	4T-D1-NP-F-BL.mpeg
202549	-33728	33368	4T-D1-NP-F-BL.mpeg
202568	-33728	33368	4T-D1-NP-F-BL.mpeg
202588	-33728	33368	4T-D1-NP-F-BL.mpeg
202608	-33728	33368	4T-D1-NP-F-BL.mpeg
202619	-33728	33368	4T-D1-NP-F-BL.mpeg
202640	-33728	33368	4T-D1-NP-F-BL.mpeg
202660	-33728	33368	4T-D1-NP-F-BL.mpeg
202680	-33728	33368	4T-D1-NP-F-BL.mpeg
202700	-33728	33368	4T-D1-NP-F-BL.mpeg
202720	-33728	33368	4T-D1-NP-F-BL.mpeg
202740	-33728	33368	4T-D1-NP-F-BL.mpeg
202760	-33728	33368	4T-D1-NP-F-BL.mpeg
202780	-33728	33368	4T-D1-NP-F-BL.mpeg
202807	-33728	33368	4T-D1-NP-F-BL.mpeg
202820	-33728	33368	4T-D1-NP-F-BL.mpeg
202840	-33728	33368	4T-D1-NP-F-BL.mpeg
202859	-33728	33368	4T-D1-NP-F-BL.mpeg
202946	-33728	33368	4T-D1-NP-F-BL.mpeg
202949	-33728	33368	4T-D1-NP-F-BL.mpeg
202968	-33728	33368	4T-D1-NP-F-BL.mpeg
202988	-33728	33368	4T-D1-NP-F-BL.mpeg
203000	-33728	33368	4T-D1-NP-F-BL.mpeg
203020	-33728	33368	4T-D1-NP-F-BL.mpeg
203041	-33728	33368	4T-D1-NP-F-BL.mpeg
203061	-33728	33368	4T-D1-NP-F-BL.mpeg
203081	-33728	33368	4T-D1-NP-F-BL.mpeg
203101	-33728	33368	4T-D1-NP-F-BL.mpeg
203121	-33728	33368	4T-D1-NP-F-BL.mpeg
203141	-33728	33368	4T-D1-NP-F-BL.mpeg
203161	-33728	33368	4T-D1-NP-F-BL.mpeg
203187	-33728	33368	4T-D1-NP-F-BL.mpeg
203200	-33728	33368	4T-D1-NP-F-BL.mpeg
203220	-33728	33368	4T-D1-NP-F-BL.mpeg
203239	-33728	33368	4T-D1-NP-F-BL.mpeg
203343	-33728	33368	4T-D1-NP-F-BL.mpeg
203348	-33728	33368	4T-D1-NP-F-BL.mpeg
203368	-33728	33368	4T-D1-NP-F-BL.mpeg
203379	-33728	33368	4T-D1-NP-F-BL.mpeg
203401	-33728	33368	4T-D1-NP-F-BL.mpeg
203421	-33728	33368	4T-D1-NP-F-BL.mpeg
203441	-33728	33368	4T-D1-NP-F-BL.mpeg
203461	-33728	33368	4T-D1-NP-F-BL.mpeg
203481	-33728	33368	4T-D1-NP-F-BL.mpeg
203501	-33728	33368	4T-D1-NP-F-BL.mpeg
203520	-33728	33368	4T-D1-NP-F-BL.mpeg
203540	-33728	33368	4T-D1-NP-F-BL.mpeg
203558	-33728	33368	4T-D1-NP-F-BL.mpeg
203584	-33728	33368	4T-D1-NP-F-BL.mpeg
203600	-33728	33368	4T-D1-NP-F-BL.mpeg
203619	-33728	33368	4T-D1-NP-F-BL.mpeg
203648	-33728	33368	4T-D1-NP-F-BL.mpeg
203743	-33728	33368	4T-D1-NP-F-BL.mpeg
