Time	XCoord	YCoord	VideoName
180274	-33728	33308	4T-D3-ND-F-BL.mpeg
180277	-33728	33308	4T-D3-ND-F-BL.mpeg
180298	-33728	33308	4T-D3-ND-F-BL.mpeg
180316	-33728	33308	4T-D3-ND-F-BL.mpeg
180337	-33728	33308	4T-D3-ND-F-BL.mpeg
180355	-33728	33308	4T-D3-ND-F-BL.mpeg
180376	-33728	33308	4T-D3-ND-F-BL.mpeg
180397	-33728	33308	4T-D3-ND-F-BL.mpeg
180416	-33728	33308	4T-D3-ND-F-BL.mpeg
180437	-33728	33308	4T-D3-ND-F-BL.mpeg
180457	-33728	33308	4T-D3-ND-F-BL.mpeg
180476	-33728	33308	4T-D3-ND-F-BL.mpeg
180495	-33728	33308	4T-D3-ND-F-BL.mpeg
180516	-33728	33308	4T-D3-ND-F-BL.mpeg
180535	-33728	33308	4T-D3-ND-F-BL.mpeg
180556	-33728	33308	4T-D3-ND-F-BL.mpeg
180575	-33728	33308	4T-D3-ND-F-BL.mpeg
180595	-33728	33308	4T-D3-ND-F-BL.mpeg
180616	-33728	33308	4T-D3-ND-F-BL.mpeg
180635	-33728	33308	4T-D3-ND-F-BL.mpeg
180655	-33728	33308	4T-D3-ND-F-BL.mpeg
180676	-33728	33308	4T-D3-ND-F-BL.mpeg
180695	-33728	33308	4T-D3-ND-F-BL.mpeg
180716	-33728	33308	4T-D3-ND-F-BL.mpeg
180735	-33728	33308	4T-D3-ND-F-BL.mpeg
180755	-33728	33308	4T-D3-ND-F-BL.mpeg
180776	-33728	33308	4T-D3-ND-F-BL.mpeg
180795	-33728	33308	4T-D3-ND-F-BL.mpeg
180815	-33728	33308	4T-D3-ND-F-BL.mpeg
180913	-33728	33308	4T-D3-ND-F-BL.mpeg
180918	-33728	33308	4T-D3-ND-F-BL.mpeg
180938	-33728	33308	4T-D3-ND-F-BL.mpeg
180955	-33728	33308	4T-D3-ND-F-BL.mpeg
180976	-33728	33308	4T-D3-ND-F-BL.mpeg
180997	-33728	33308	4T-D3-ND-F-BL.mpeg
181015	-33728	33308	4T-D3-ND-F-BL.mpeg
181035	-33728	33308	4T-D3-ND-F-BL.mpeg
181057	-33728	33308	4T-D3-ND-F-BL.mpeg
181075	-33728	33308	4T-D3-ND-F-BL.mpeg
181136	-33728	33308	4T-D3-ND-F-BL.mpeg
181136	-33728	33308	4T-D3-ND-F-BL.mpeg
181137	-33728	33308	4T-D3-ND-F-BL.mpeg
181157	-33728	33308	4T-D3-ND-F-BL.mpeg
181175	-33728	33308	4T-D3-ND-F-BL.mpeg
181195	-33728	33308	4T-D3-ND-F-BL.mpeg
181216	-33728	33308	4T-D3-ND-F-BL.mpeg
181235	-33728	33308	4T-D3-ND-F-BL.mpeg
